name,seed,gamma,gamma_type,epochs,batch_size,cog_mtl,discount,max_time_steps,w_lambda,action_lim,cog_init,cog_type,energy_model,score,network,algo,category,train_mae,valid_mae,test_mae,train_mse,valid_mse,test_mse,train_mae_emci,valid_mae_emci,test_mae_emci,train_mae_cn,valid_mae_cn,test_mae_cn,train_mae_lmci,valid_mae_lmci,test_mae_lmci,train_mae_smc,valid_mae_smc,test_mae_smc,train_mse_emci,valid_mse_emci,test_mse_emci,train_mse_cn,valid_mse_cn,test_mse_cn,train_mse_lmci,valid_mse_lmci,test_mse_lmci,train_mse_smc,valid_mse_smc,test_mse_smc,train_reward_rl,valid_reward_rl,test_reward_rl,train_reward,valid_reward,test_reward
adni_fold0,3,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.553,0.605,0.408,0.907,0.933,0.329,0.555,0.752,0.535,0.313,0.291,0.282,1.027,0.75,0.441,0.396,0.188,0.241,0.867,1.084,0.495,0.258,0.176,0.149,2.405,1.508,0.386,0.3,0.096,0.133,-3.557,-3.656,-9.2,0,0,0
adni_fold2,3,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.553,0.657,0.538,0.681,1.238,0.621,0.585,0.661,0.523,0.426,0.457,0.452,0.796,1.441,0.62,0.333,0.446,0.7,0.724,1.063,0.575,0.369,0.39,0.469,1.332,5.28,0.833,0.188,0.375,0.739,-3.813,-17.877,-3.648,0,0,0
adni_fold0,3,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,2.116,2.124,2.195,7.228,7.029,7.096,2.082,2.009,1.943,2.477,2.507,2.496,1.913,2.166,2.12,1.647,1.54,2.369,7.323,6.403,5.998,9.149,8.607,8.19,5.595,7.428,7.119,4.632,4.541,8.114,-5.593,-5.765,-5.758,0,0,0
adni_fold3,1,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.576,0.477,0.587,1.032,0.513,0.849,0.599,0.768,0.645,0.32,0.308,0.297,1.075,0.382,0.933,0.341,0.305,0.314,1.142,1.082,0.967,0.227,0.187,0.274,2.548,0.329,1.646,0.241,0.15,0.187,-3.727,-3.316,-3.489,0,0,0
adni_fold4,4,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.53,0.329,0.681,0.661,0.25,1.453,0.62,0.288,0.611,0.325,0.269,0.338,0.682,0.491,1.663,0.326,0.479,0.259,0.837,0.165,0.709,0.245,0.206,0.381,1.006,0.403,5.326,0.199,0.514,0.118,-3.486,-3.167,-3.742,0,0,0
adni_fold3,1,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,1.678,1.588,1.618,3.338,2.898,3.095,1.651,1.523,1.644,1.869,1.536,1.753,1.496,1.803,1.356,1.524,1.308,1.653,3.25,2.772,3.23,3.883,2.66,3.522,2.924,3.619,2.255,2.744,1.817,3.033,-4.871,-4.586,-4.725,0,0,0
adni_fold1,5,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,1.136,1.04,1.14,2.095,1.836,2.141,1.027,1.048,1.022,1.17,1.133,1.462,1.332,0.994,0.988,1.129,0.925,0.825,1.704,1.935,1.79,2.209,2.086,3.248,2.78,1.493,1.461,2.128,1.595,1.192,-4.411,-4.22,-10.148,0,0,0
adni_fold2,3,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,1.695,2.033,1.73,4.248,5.9,4.398,1.574,1.756,1.733,1.972,2.464,1.701,1.686,1.403,1.753,1.428,2.468,1.74,3.76,4.873,4.299,5.408,7.333,4.646,4.054,3.911,4.336,3.32,7.582,4.254,-4.816,-12.028,-4.781,0,0,0
adni_fold0,5,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,1.363,1.339,1.365,2.361,2.369,2.244,1.411,1.083,1.288,1.47,1.631,1.449,1.195,1.386,1.369,1.181,1.644,1.406,2.478,1.756,2.095,2.627,3.122,2.41,2.042,2.435,2.211,1.771,3.137,2.374,-8.264,-4.809,-10.444,0,0,0
adni_fold0,5,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,1.096,1.131,0.953,1.664,1.718,1.18,1.176,0.962,0.869,1.109,1.108,1.058,1.095,1.365,0.905,0.767,1.165,1.031,1.842,1.339,1.044,1.544,1.564,1.402,1.901,2.389,0.955,0.937,1.529,1.338,-4.197,-4.239,-4.111,0,0,0
